AN_Cell_ID_Risk_area,CELL_LONGITUDE,AN_Cloned_IMEI_Flag,BN_IDD_SMS
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1210518,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,0
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1352692,Cloned,1
TRUE,42.1153793,Cloned,1
TRUE,42.1153793,Cloned,1
TRUE,42.1153793,Cloned,1
TRUE,42.1153793,Cloned,1
TRUE,42.1153793,Cloned,1
TRUE,42.1348686,Cloned,1
TRUE,42.1348686,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1334,Not_Cloned,1
TRUE,42.1147118,Not_Cloned,1
TRUE,42.1147118,Not_Cloned,1
TRUE,42.1147118,Not_Cloned,1
TRUE,42.1245117,Not_Cloned,0
TRUE,42.1245117,Not_Cloned,0
TRUE,42.1245117,Not_Cloned,0
TRUE,42.1245117,Not_Cloned,0
TRUE,42.1245117,Not_Cloned,0
TRUE,42.1245117,Not_Cloned,0
TRUE,42.1245117,Not_Cloned,0
FALSE,42.1245117,Not_Cloned,0
FALSE,42.1245117,Not_Cloned,0
FALSE,42.1245117,Not_Cloned,0
FALSE,42.1245117,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
FALSE,42.1256218,Not_Cloned,0
