SN,Date,IDD_CALL_TIMES,SMS_RECEIVE_CNT,SMS_SEND_CNT,CALLING_TIMES,Calling_IMEI ,Called_IMEI ,Missed_IDD_calling,CALLING_DURATION,CALLED_DURATION,IDD_CALLING_TIMES,CELL_COUNT,CALLING_CELL_COUNT,CALLED_CELL_COUNT,IDD_SMS_CNT,IS_FRAUD
83,20191223,0,0,0,5,2,5,1,960,0,0,4,4,0,0,1
84,20191223,0,0,0,4,1,4,1,227,0,0,0,0,0,0,1
85,20191223,0,0,0,4,1,4,1,606,0,0,7,7,0,0,1
86,20191223,0,0,0,4,1,4,1,1184,0,0,3,3,0,0,1
87,20191223,0,0,0,8,3,8,1,1293,0,0,2,2,0,0,1
88,20191223,0,0,0,9,3,9,2,1809,0,0,3,3,0,0,1
89,20191223,0,0,0,4,1,4,1,896,0,0,0,0,0,0,1
90,20191223,0,0,0,5,2,5,1,944,0,0,2,2,0,0,1
91,20191223,0,0,0,4,1,4,1,1157,0,0,2,2,0,0,1
92,20191223,0,0,0,15,5,15,2,3300,0,0,4,4,0,0,1
93,20191223,0,0,0,5,2,5,1,883,0,0,3,3,0,0,1
94,20191223,0,0,0,6,2,6,1,1637,0,0,2,2,0,0,1
95,20191223,0,0,0,5,2,5,1,933,0,0,2,2,0,0,1
96,20191223,0,0,0,11,4,11,2,3910,0,0,2,2,0,0,1
97,20191223,0,0,0,5,2,5,1,1204,0,0,2,2,0,0,1
98,20191223,0,0,0,4,1,4,1,946,0,0,2,2,0,0,1
99,20191223,0,0,0,4,1,4,1,607,0,0,2,2,0,0,1
100,20191223,0,0,0,7,2,7,1,1400,0,0,3,3,0,0,1
101,20191223,0,0,0,10,3,10,2,1911,0,0,8,8,0,0,1
102,20191223,0,0,0,4,1,4,1,661,0,0,2,2,0,0,1
103,20191223,0,0,0,6,2,6,1,234,0,0,4,4,0,0,1
104,20191223,0,0,0,4,1,4,1,1190,0,0,1,1,0,0,1
105,20191223,0,0,0,4,1,4,1,486,0,0,4,4,0,0,1
106,20191223,0,0,0,6,2,6,1,1000,0,0,4,4,0,0,1
107,20191223,0,0,0,9,3,9,2,1913,0,0,2,2,0,0,1
108,20191223,0,0,0,5,2,5,1,1229,0,0,3,3,0,0,1
109,20191223,0,0,0,9,3,9,1,2170,0,0,2,2,0,0,1
110,20191223,0,0,0,5,2,5,1,480,0,0,2,2,0,0,1
111,20191223,0,0,0,10,3,10,2,2080,0,0,3,3,0,0,1
112,20191223,0,0,0,8,3,8,1,1319,0,0,5,5,0,0,1
113,20191223,0,0,0,6,2,6,1,1501,0,0,2,2,0,0,1
114,20191223,0,0,0,10,3,10,2,2190,0,0,2,2,0,0,1
115,20191223,0,0,0,4,1,4,1,1380,0,0,6,6,0,0,1
116,20191223,0,0,0,13,4,13,2,3501,0,0,3,3,0,0,1
117,20191223,0,0,0,4,1,4,1,720,0,0,2,2,0,0,1
118,20191223,0,0,0,5,2,5,1,1791,0,0,3,3,0,0,1
119,20191223,0,0,0,6,2,6,1,1069,0,0,2,2,0,0,1
120,20191223,0,0,0,10,3,10,2,1247,0,0,7,7,0,0,1
121,20191223,0,0,0,7,2,7,1,1231,0,0,1,1,0,0,1
122,20191223,0,0,0,4,1,4,1,697,0,0,4,4,0,0,1
123,20191223,0,0,0,10,3,10,2,2131,0,0,7,7,0,0,1
124,20191223,0,0,0,4,1,4,1,584,0,0,3,3,0,0,1
125,20191223,0,0,0,4,1,4,1,624,0,0,2,2,0,0,1
126,20191223,0,0,0,16,5,16,3,2051,0,0,4,4,0,0,1
127,20191223,0,0,0,5,2,5,1,694,0,0,2,2,0,0,1
128,20191223,0,0,0,6,2,6,1,327,0,0,3,3,0,0,1
129,20191223,0,0,0,5,2,5,1,1383,0,0,1,1,0,0,1
130,20191223,0,0,0,7,2,7,1,2159,0,0,3,3,0,0,1
131,20191223,0,0,0,5,2,5,1,1244,0,0,3,3,0,0,1
132,20191223,0,0,0,4,1,4,1,1027,0,0,1,1,0,0,1
133,20191223,0,0,0,9,3,9,2,1044,0,0,5,5,0,0,1
134,20191223,0,0,0,8,3,8,1,1073,0,0,2,2,0,0,1
135,20191223,0,0,0,4,1,4,1,957,0,0,2,2,0,0,1
136,20191223,0,0,0,10,3,10,2,2183,0,0,4,4,0,0,1
137,20191223,0,0,0,5,2,5,1,1284,0,0,1,1,0,0,1
138,20191223,0,0,0,13,4,13,2,944,0,0,2,2,0,0,1
139,20191223,0,0,0,7,2,7,1,1397,0,0,5,5,0,0,1
